Segnala il PFS mancante!!::::00
TOH_1/03w21::Corso Francia, Collegno [45.07193067, 7.56132188]
TOH_1/03w22::Corso Francia 257, Collegno [45.07200000, 7.56322163]
TOH_1/03w23::Via Piave, Collegno [45.07202961, 7.56636725]
TOH_1/03w24::Via Piave, Collegno [45.07050845, 7.56614037]
TOH_1/03w31::Via Novalesa, Collegno [45.07226150310388, 7.5588487914743085]
TOH_1/03w32::Corso Francia, Collegno [45.07242555694617, 7.561771966455579]
TOH_1/03w33::Corso Palmiro Togliatti, Collegno [45.07323498463739, 7.563900566225677]
TOH_1/03w34::Via Bardonecchia, Collegno [45.07441832193525, 7.56313792809637]
TOH_1/03w41::Via Chiomonte, Rivoli [45.075402980229896, 7.557828682212324]
TOH_1/03w42::Via Cesana, Collegno [45.07541666750295, 7.5614710417644915]
TOH_1/03w43::Via Condove, Collegno [45.07647883116947, 7.560689317605818]
TOH_1/03w44::Via Moncenisio, Collegno [45.078468359940665, 7.559335731232546]
TOH_1/04e11::Via Rajiv Gandhi, Orbassano [45.01030996, 7.54648130]
TOH_1/04e12::Via Dante Di Nanni, Orbassano [45.00945061, 7.54580623]
TOH_1/04e13::Via Milano, Orbassano [45.00855626, 7.54694037]
TOH_1/04e14::Via Regno Unito, Orbassano [45.01176767, 7.54432322]
TOH_1/04e21::Via Dante Di Nanni 31, Orbassano [45.00992707, 7.53986244]
TOH_1/04e22::Via Francesco Martini 1/1, Orbassano [45.00837749, 7.54019697]
TOH_1/04e23::Strada Torino, Orbassano [45.00782326, 7.54417914]
TOH_1/04e24::Via Nino Bixio, Orbassano [45.00702761, 7.54186572]
TOH_1/04w11::Via Malosnà 10, Orbassano [45.00446898, 7.54517506]
TOH_1/04w12::Via Guglielmo Marconi, Orbassano [45.00532172, 7.54661609]
TOH_1/04w13::Via Riesi, Orbassano [45.00648630, 7.54689856]
TOH_1/04w14::Via Italo Calvino, Orbassano [45.00665730, 7.54766186]
TOH_1/04w21::Viale Liguria 12, Orbassano [44.99945074020859, 7.546861706350439]
TOH_1/04w22::Via Lazio 2, Orbassano [45.00239104, 7.54785043]
TOH_1/04w23::Strada Tetti Valfrè, Orbassano [45.003089626997145, 7.578083650739771]
TOH_1/04w24::Strada Borgaretto 44, Orbassano [45.00834501037698, 7.593238396527102]
TOH_1/05e11::Via Alberto Nota, Orbassano [45.00816686, 7.53486468]
TOH_1/05e12::Via dei Mulini 43, Orbassano [45.00957674, 7.53298192]
TOH_1/05e13::Via Grazia Deledda, Orbassano [45.01105513, 7.53401550]
TOH_1/05e14::Via Nazario Sauro, Orbassano [45.01096160, 7.53757342]
TOH_1/05e21::Via Frejus, Orbassano [45.00597430, 7.53448885]
TOH_1/05e22::Via Montenero, Orbassano [45.00739314, 7.53413624]
TOH_1/05e23::Via Vincenzo Monti, Orbassano [45.0062100688548, 7.528458656471517]
TOH_1/05e24::Via Montegrappa, Orbassano [45.00789600912949, 7.5300958682076455]
TOH_1/05e31::Via Fratelli Rosselli, Orbassano [45.000248241013196, 7.529741973049821]
TOH_1/05e32::Strada Piossasco 16a, Orbassano [45.00383234428045, 7.5314124606625175]
TOH_1/05e33::Via Indro Montanelli, Orbassano [45.00392477, 7.53302455]
TOH_1/05w11::Via San Rocco 12, Orbassano [45.00577968, 7.54096688]
TOH_1/05w12::Via Genova 8, Orbassano [45.00259450, 7.54272096]
TOH_1/05w13::Via San Rocco 35, Orbassano [45.00320764, 7.54394954]
